MCONumber                               CompanyName                                        WKT
760                                     UHC of Illinois                                    POLYGON ((-90.602362079999992 39.28747302, -90.602732879999991 39.28490496, -90.608789159999986 39.25890801, -90.597777839999992 39.242280959999995, -90.59675292 39.23553897, -90.594417959999987 39.235532039999995, -90.577104119999987 39.232002959999996, -
761                                     UHC of Tulsa                                       POLYGON ((-93.296073959999987 36.49845402, -93.583187999999993 36.49889502, -93.83403888 36.49885497, -94.07708892 36.498731039999996, -94.085494919999988 36.498698999999995, -94.18144104 36.498815009999994, -94.231970999999987 36.499107959999996, -94.2711
762                                     UHC of Northern Alabama                            POLYGON ((-85.42171692 34.080756029999996, -85.46220792 34.28638596, -85.583144879999992 34.86037104, -85.605166079999989 34.984679039999996, -85.86382716 34.98833196, -86.06708712 34.989514019999994, -86.15299212 34.989933959999995, -86.311275119999991 34
763                                     UHC of Western Georgia                             POLYGON ((-84.297801959999987 33.58661301, -84.29875704 33.58646604, -84.30210215999999 33.58686699, -84.30201215999999 33.591310019999995, -84.30653808 33.591355019999995, -84.30772608 33.590972969999996, -84.30878088 33.590942999999996, -84.3098579999999
764                                     UHC of South Central Indiana                       POLYGON ((-87.53219496 39.60728199, -87.53219496 39.60727299, -87.532068959999989 39.578453999999994, -87.531663959999989 39.477120029999995, -87.531356159999987 39.436656029999995, -87.53135687999999 39.41900604, -87.53164704 39.34788903, -87.587660879999
765                                     UHC of N W Ohio                                    MULTIPOLYGON (((-84.80596211999999 41.69608803, -84.806073 41.669000999999994, -84.80557512 41.603043959999994, -84.80445911999999 41.50034802, -84.80427696 41.485473989999996, -84.80389392 41.36814603, -84.803933879999988 41.32493802, -84.80379384 41.2999
766                                     UHC of Cleveland                                   POLYGON ((-80.90616096 41.870286, -80.98704287999999 41.859803969999994, -81.00842904 41.85630999, -81.12714695999999 41.81520096, -81.229415039999992 41.769160019999994, -81.259301159999993 41.761143989999994, -81.273008879999992 41.76196596, -81.282879 4
767                                     UHC of Akron                                       POLYGON ((-80.649936 40.244591969999995, -80.638980839999988 40.25262402, -80.621799119999991 40.260998969999996, -80.615827079999988 40.26648897, -80.61412104 40.27421304, -80.61448716 40.287335039999995, -80.60132592 40.30836597, -80.59803516 40.31953299
768                                     UHC of Coastal South Carolina                      POLYGON ((-82.03733892 32.556681, -82.032401159999992 32.555699999999995, -82.03307903999999 32.554470959999996, -82.034251919999988 32.55346503, -82.015323119999991 32.550875999999995, -82.01537712 32.551907039999996, -82.016241839999992 32.55325902, -82.
769                                     UHC of Central Ohio                                POLYGON ((-83.44792692 38.67568101, -83.468912039999992 38.67375798, -83.457405 38.668563989999996, -83.441004119999988 38.66739903, -83.41913484 38.66584698, -83.37390696 38.658474, -83.348559 38.647216979999996, -83.33166096 38.639454029999996, -83.32271
770                                     UHC of Cincinnati                                  POLYGON ((-85.44026916 39.17545002, -85.441199039999987 39.146769, -85.44314412 39.073458959999996, -85.44357108 39.05583804, -85.44489696 38.91296799, -85.36795416 38.913545969999994, -85.367949119999992 38.91354498, -85.36784508 38.913545969999994, -85.3
771                                     UHC of Memphis                                     POLYGON ((-88.156293119999987 34.46321499, -88.139989079999992 34.58170404, -88.11691488 34.74136899, -88.09788888 34.89220296, -88.09871616 34.89332796, -88.12768788 34.903259999999996, -88.13016216 34.904750039999996, -88.136692919999987 34.9075929599999
772                                     UHC of North Nashville                             POLYGON ((-85.570729919999991 36.058811039999995, -85.572089999999989 36.05321898, -85.57139303999999 36.052351019999996, -85.565099879999991 36.05170302, -85.564206 36.051857999999996, -85.564041839999987 36.052793009999995, -85.56550596 36.05565204, -85.
